2021-03-04 12:20:08,234 00405b14466d00 3.423112
2021-03-04 12:25:21,366 error
2021-03-04 12:25:24,154 error
2021-03-04 12:25:26,029 error
2021-03-04 12:27:28,754 00405e28a1b300 3.471229
2021-03-04 12:30:17,196 00405f84982700 3.492467
2021-03-04 12:35:16,721 00406120d3f600 3.517628
2021-03-04 12:40:17,238 004062d6c21200 3.544357
2021-03-04 12:45:16,753 004063a6d57400 3.557057
2021-03-04 12:50:17,271 0040672f1b3700 3.612250
2021-03-04 12:55:16,790 00406669c1aa00 3.600204
2021-03-04 13:00:17,321 0040697cfc8d00 3.648253
2021-03-04 13:05:16,848 004068f657ad00 3.640035
2021-03-04 13:10:17,362 00406b157a6000 3.673185
2021-03-04 13:15:16,881 00406bfc768500 3.687283
2021-03-04 13:20:16,541 00406d50d08900 3.708057
2021-03-04 13:25:17,041 00406cf1e81100 3.702264
2021-03-04 13:30:16,554 00406e7f314400 3.726513
2021-03-04 13:35:17,071 00406e4bc68700 3.723374
2021-03-04 13:40:16,589 00407013d8df00 3.751211
2021-03-04 13:45:17,100 00406f3f645000 3.738244
2021-03-04 13:50:16,619 0040703b654a00 3.753625
2021-03-04 13:55:17,133 00406ecbae6f00 3.731181
2021-03-04 14:00:16,652 00406f7e1a6f00 3.742071
2021-03-04 14:05:17,169 00407036200200 3.753303
2021-03-04 14:10:16,683 00406ded759100 3.717618
2021-03-04 14:15:17,199 00406f91cb5100 3.743273
2021-03-04 14:20:16,832 00406d80b13800 3.710979
2021-03-04 14:25:02,335 error
2021-03-04 14:30:01,804 error
2021-03-04 14:35:17,288 00406d25f2de00 3.705440
2021-03-04 14:40:16,802 00406aa002ac00 3.666016
2021-03-04 14:45:17,311 00406a40de9000 3.660209
2021-03-04 14:50:01,804 error
2021-03-04 14:55:17,289 004067ad43ed00 3.619950
2021-03-04 15:00:16,808 0040657f750b00 3.585904
2021-03-04 15:05:17,323 00406335d0e200 3.550159
2021-03-04 15:10:16,850 004063c374b000 3.558804
2021-03-04 15:15:17,368 0040612f6a4000 3.518518
2021-03-04 15:20:16,993 00406137a09200 3.519020
2021-03-04 15:25:16,510 00405f4efc8900 3.489195
2021-03-04 15:30:17,022 00405f6e80d500 3.491119
2021-03-04 15:35:16,541 00405bfac60300 3.437180
2021-03-04 15:40:17,086 00405c7a783a00 3.444974
2021-03-04 15:45:16,629 004059488aff00 3.395052
2021-03-04 15:50:17,148 00405941c5b900 3.394639
2021-03-04 15:55:16,662 00405817eac100 3.376459
2021-03-04 16:00:17,179 004055f12aea00 3.342844
2021-03-04 16:05:16,714 004054bd880500 3.324068
2021-03-04 16:10:17,232 004052876cdd00 3.289515
2021-03-04 16:15:16,749 004050124a6c00 3.251116
